"Does this X-ray have tuberculosis? RESPONSE IN JSON WITH {""EXIST"": 0 or 1}"
"Does it have the ET Tube and what is the distance between the Carina and the ET Tube? RESPONSE IN JSON WITH {""EXIST"": 0 or 1, ""DISTANCE"": FLOAT}"
"Is there nodules in this X-ray and if so where is the nodule? RESPONSE IN JSON WITH {""EXIST"": 0 or 1, ""LOCATION"": STRING}"
"Does this X-ray contain any fractures? RESPONSE IN JSON WITH {""EXIST"": 0 or 1, ""LOCATION"": STRING, ""BOUNDING_BOX"": [xmin, ymin, xmax, ymax]}"
"Is the Mediastinum normal? RESPONSE IN JSON WITH {""NORMAL"": 0 or 1, ""FINDINGS"": STRING}"
"What disease can you find in the left lung? RESPONSE IN JSON WITH {""LEFT_LUNG"": [""list of diseases""]}"
"What disease can you find in the right lung? RESPONSE IN JSON WITH {""RIGHT_LUNG"": [""list of diseases""]}"
"Is there any evidence of pneumothorax? RESPONSE IN JSON WITH {""EXIST"": 0 or 1, ""LOCATION"": STRING}"
"Can you locate the Pleural effusion? RESPONSE IN JSON WITH {""EXIST"": 0 or 1, ""LOCATION"": STRING}"
"Is there pneumonia and can you locate the Pneumonia? RESPONSE IN JSON WITH {""EXIST"": 0 or 1, ""LOCATION"": STRING}"
"Is there evidence of hilar lymphadenopathy? RESPONSE IN JSON WITH {""EXIST"": 0 or 1, ""LOCATION"": STRING}"
